,Unnamed: 0,year,species,port,county,weight_type,weight,value,number_harvesters,price_per_lb
1101,1101,2011,Lobster American,Brooklin,Hancock,Live Pounds,143016.49,435417.583,12,3.044527124
1102,1102,2011,Lobster American,Brooksville,Hancock,Live Pounds,48025.26,159854.327,10,3.328546831
1103,1103,2011,Lobster American,Bucks Harbor,Washington,Live Pounds,326048.7,944643.735,35,2.897247359
1104,1104,2011,Lobster American,Camden,Knox,Live Pounds,6837.79,22485.278,4,3.28838382
1105,1105,2011,Lobster American,Cape Elizabeth,Cumberland,Live Pounds,98663.15,363038.103,23,3.67957138
1106,1106,2011,Lobster American,Cape Porpoise,York,Live Pounds,692716.53,2444457.0,48,3.528798425
1107,1107,2011,Lobster American,Cundys Harbor,Cumberland,Live Pounds,1339013.13,4158309.363,64,3.105503053
1108,1108,2011,Lobster American,Cushing,Knox,Live Pounds,1676328.21,5662931.083,79,3.378175616
1109,1109,2011,Lobster American,Cutler,Washington,Live Pounds,1917014.5,5836357.646,58,3.044503652
1110,1110,2011,Lobster American,Deer Isle,Hancock,Live Pounds,386677.5,1309720.285,32,3.387112736
1111,1111,2011,Lobster American,Eastport,Washington,Live Pounds,802852.7,2748950.349,35,3.423978457
1112,1112,2011,Lobster American,Edgecomb,Lincoln,Live Pounds,4432.0,13273.13,4,2.994839801
1113,1113,2011,Lobster American,Falmouth,Cumberland,Live Pounds,34840.7,140924.207,7,4.044815604
1114,1114,2011,Lobster American,Five Islands,Sagadahoc,Live Pounds,163001.75,604600.89,33,3.709168092
1115,1115,2011,Lobster American,Freeport,Cumberland,Live Pounds,245749.5,840520.9,16,3.420234426
1116,1116,2011,Lobster American,Friendship,Knox,Live Pounds,4325524.0,14517817.37,172,3.356314141
1117,1117,2011,Lobster American,Georgetown,Sagadahoc,Live Pounds,317803.09,1032052.76,22,3.247459803
1118,1118,2011,Lobster American,Gouldsboro,Hancock,Live Pounds,491533.8,1288578.74,24,2.621546555
1119,1119,2011,Lobster American,Gouldsboro,Hancock,Live Pounds,32469.0,116154.15,5,3.577386122
1120,1120,2011,Lobster American,Hancock,Hancock,Live Pounds,224507.35,773376.636,24,3.444772013
1121,1121,2011,Lobster American,Harpswell,Cumberland,Live Pounds,2793678.29,9295513.272,184,3.327338479
1122,1122,2011,Lobster American,Islesboro,Waldo,Live Pounds,128682.85,418540.41,7,3.252495651
1123,1123,2011,Lobster American,Jonesport,Washington,Live Pounds,2722772.55,7709565.427,175,2.831512837
1124,1124,2011,Lobster American,Kennebunkport,York,Live Pounds,193801.23,667230.362,23,3.442859274
1125,1125,2011,Lobster American,Kittery,York,Live Pounds,1228797.9,4493244.585,72,3.656618053
1126,1126,2011,Lobster American,Lincolnville,Waldo,Live Pounds,37005.0,124436.69,5,3.362699365
